+-------+-----+-----+-----+--------+---------------------------------------------------------+-------+-------+---------+-------+-------+
| COUNT | 5XX | 4XX | 2XX | METHOD |                           URI                           |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |
| 1     | 0   | 0   | 1   | GET    | /posts/3762                                             | 0.388 | 0.388 | 0.388   | 0.388 | 0.388 |
| 1     | 0   | 0   | 1   | GET    | /posts/1519                                             | 0.388 | 0.388 | 0.388   | 0.388 | 0.388 |
| 1     | 0   | 0   | 1   | GET    | /posts/8616                                             | 0.388 | 0.388 | 0.388   | 0.388 | 0.388 |
| 1     | 0   | 0   | 1   | GET    | /posts/5384                                             | 0.384 | 0.384 | 0.384   | 0.384 | 0.384 |
| 1     | 0   | 0   | 1   | GET    | /posts/1558                                             | 0.384 | 0.384 | 0.384   | 0.384 | 0.384 |
| 1     | 0   | 0   | 1   | GET    | /posts/9209                                             | 0.384 | 0.384 | 0.384   | 0.384 | 0.384 |
| 1     | 0   | 0   | 1   | GET    | /posts/8211                                             | 0.384 | 0.384 | 0.384   | 0.384 | 0.384 |
| 1     | 0   | 0   | 1   | GET    | /posts/5463                                             | 0.380 | 0.380 | 0.380   | 0.380 | 0.380 |
| 1     | 0   | 0   | 1   | GET    | /posts/8035                                             | 0.380 | 0.380 | 0.380   | 0.380 | 0.380 |
| 1     | 0   | 0   | 1   | GET    | /posts/4443                                             | 0.380 | 0.380 | 0.380   | 0.380 | 0.380 |
| 1     | 0   | 0   | 1   | GET    | /posts/9848                                             | 0.380 | 0.380 | 0.380   | 0.380 | 0.380 |
| 1     | 0   | 0   | 1   | GET    | /posts/103                                              | 0.376 | 0.376 | 0.376   | 0.376 | 0.376 |
| 1     | 0   | 0   | 1   | GET    | /posts/3689                                             | 0.376 | 0.376 | 0.376   | 0.376 | 0.376 |
| 1     | 0   | 0   | 1   | GET    | /posts/5757                                             | 0.376 | 0.376 | 0.376   | 0.376 | 0.376 |
| 1     | 0   | 0   | 1   | GET    | /posts/8474                                             | 0.376 | 0.376 | 0.376   | 0.376 | 0.376 |
| 1     | 0   | 0   | 1   | GET    | /posts/2028                                             | 0.376 | 0.376 | 0.376   | 0.376 | 0.376 |
| 1     | 0   | 0   | 1   | GET    | /posts/2842                                             | 0.372 | 0.372 | 0.372   | 0.372 | 0.372 |
| 1     | 0   | 0   | 1   | GET    | /posts/5410                                             | 0.372 | 0.372 | 0.372   | 0.372 | 0.372 |
| 1     | 0   | 0   | 1   | GET    | /posts/854                                              | 0.372 | 0.372 | 0.372   | 0.372 | 0.372 |
| 1     | 0   | 0   | 1   | GET    | /posts/4485                                             | 0.372 | 0.372 | 0.372   | 0.372 | 0.372 |
| 1     | 0   | 0   | 1   | GET    | /posts/5425                                             | 0.372 | 0.372 | 0.372   | 0.372 | 0.372 |
| 1     | 0   | 0   | 1   | GET    | /posts/2635                                             | 0.372 | 0.372 | 0.372   | 0.372 | 0.372 |
| 1     | 0   | 0   | 1   | GET    | /posts/3359                                             | 0.372 | 0.372 | 0.372   | 0.372 | 0.372 |
| 1     | 0   | 0   | 1   | GET    | /posts/26                                               | 0.368 | 0.368 | 0.368   | 0.368 | 0.368 |
| 1     | 0   | 0   | 1   | GET    | /posts/1051                                             | 0.368 | 0.368 | 0.368   | 0.368 | 0.368 |
| 1     | 0   | 0   | 1   | GET    | /posts/5307                                             | 0.368 | 0.368 | 0.368   | 0.368 | 0.368 |
| 1     | 0   | 0   | 1   | GET    | /posts/525                                              | 0.368 | 0.368 | 0.368   | 0.368 | 0.368 |
| 1     | 0   | 0   | 1   | GET    | /posts/6253                                             | 0.368 | 0.368 | 0.368   | 0.368 | 0.368 |
| 1     | 0   | 0   | 1   | GET    | /posts/7961                                             | 0.368 | 0.368 | 0.368   | 0.368 | 0.368 |
| 1     | 0   | 0   | 1   | GET    | /posts/3610                                             | 0.364 | 0.364 | 0.364   | 0.364 | 0.364 |
| 1     | 0   | 0   | 1   | GET    | /posts/972                                              | 0.364 | 0.364 | 0.364   | 0.364 | 0.364 |
| 1     | 0   | 0   | 1   | GET    | /posts/806                                              | 0.364 | 0.364 | 0.364   | 0.364 | 0.364 |
| 1     | 0   | 0   | 1   | GET    | /posts/3399                                             | 0.364 | 0.364 | 0.364   | 0.364 | 0.364 |
| 1     | 0   | 0   | 1   | GET    | /posts/2516                                             | 0.364 | 0.364 | 0.364   | 0.364 | 0.364 |
| 1     | 0   | 0   | 1   | GET    | /posts/7389                                             | 0.364 | 0.364 | 0.364   | 0.364 | 0.364 |
| 1     | 0   | 0   | 1   | GET    | /posts/6791                                             | 0.364 | 0.364 | 0.364   | 0.364 | 0.364 |
| 1     | 0   | 0   | 1   | GET    | /posts/3844                                             | 0.364 | 0.364 | 0.364   | 0.364 | 0.364 |
| 1     | 0   | 0   | 1   | GET    | /posts/3391                                             | 0.360 | 0.360 | 0.360   | 0.360 | 0.360 |
| 1     | 0   | 0   | 1   | GET    | /posts/3971                                             | 0.360 | 0.360 | 0.360   | 0.360 | 0.360 |
| 1     | 0   | 0   | 1   | GET    | /posts/9033                                             | 0.360 | 0.360 | 0.360   | 0.360 | 0.360 |
| 1     | 0   | 0   | 1   | GET    | /posts/7310                                             | 0.360 | 0.360 | 0.360   | 0.360 | 0.360 |
| 1     | 0   | 0   | 1   | GET    | /posts/893                                              | 0.360 | 0.360 | 0.360   | 0.360 | 0.360 |
| 1     | 0   | 0   | 1   | GET    | /posts/2074                                             | 0.360 | 0.360 | 0.360   | 0.360 | 0.360 |
| 1     | 0   | 0   | 1   | GET    | /posts/7989                                             | 0.360 | 0.360 | 0.360   | 0.360 | 0.360 |
| 1     | 0   | 0   | 1   | GET    | /posts/4463                                             | 0.360 | 0.360 | 0.360   | 0.360 | 0.360 |
| 1     | 0   | 0   | 1   | GET    | /posts/5244                                             | 0.356 | 0.356 | 0.356   | 0.356 | 0.356 |
| 1     | 0   | 0   | 1   | GET    | /posts/384                                              | 0.356 | 0.356 | 0.356   | 0.356 | 0.356 |
| 1     | 0   | 0   | 1   | GET    | /posts/586                                              | 0.356 | 0.356 | 0.356   | 0.356 | 0.356 |
| 1     | 0   | 0   | 1   | GET    | /posts/2163                                             | 0.356 | 0.356 | 0.356   | 0.356 | 0.356 |
| 1     | 0   | 0   | 1   | GET    | /posts/1153                                             | 0.356 | 0.356 | 0.356   | 0.356 | 0.356 |
| 1     | 0   | 0   | 1   | GET    | /posts/2253                                             | 0.352 | 0.352 | 0.352   | 0.352 | 0.352 |
| 1     | 0   | 0   | 1   | GET    | /posts/6176                                             | 0.352 | 0.352 | 0.352   | 0.352 | 0.352 |
| 1     | 0   | 0   | 1   | GET    | /posts/6971                                             | 0.352 | 0.352 | 0.352   | 0.352 | 0.352 |
| 1     | 0   | 0   | 1   | GET    | /posts/426                                              | 0.352 | 0.352 | 0.352   | 0.352 | 0.352 |
| 1     | 0   | 0   | 1   | GET    | /posts/7922                                             | 0.352 | 0.352 | 0.352   | 0.352 | 0.352 |
| 1     | 0   | 0   | 1   | GET    | /posts/6196                                             | 0.352 | 0.352 | 0.352   | 0.352 | 0.352 |
| 1     | 0   | 0   | 1   | GET    | /posts/447                                              | 0.352 | 0.352 | 0.352   | 0.352 | 0.352 |
| 1     | 0   | 0   | 1   | GET    | /posts/863                                              | 0.352 | 0.352 | 0.352   | 0.352 | 0.352 |
| 1     | 0   | 0   | 1   | GET    | /posts/1472                                             | 0.348 | 0.348 | 0.348   | 0.348 | 0.348 |
| 1     | 0   | 0   | 1   | GET    | /posts/3469                                             | 0.348 | 0.348 | 0.348   | 0.348 | 0.348 |
| 1     | 0   | 0   | 1   | GET    | /posts/5432                                             | 0.348 | 0.348 | 0.348   | 0.348 | 0.348 |
| 1     | 0   | 0   | 1   | GET    | /posts/1915                                             | 0.348 | 0.348 | 0.348   | 0.348 | 0.348 |
| 1     | 0   | 0   | 1   | GET    | /posts/7402                                             | 0.348 | 0.348 | 0.348   | 0.348 | 0.348 |
| 1     | 0   | 0   | 1   | GET    | /posts/2952                                             | 0.348 | 0.348 | 0.348   | 0.348 | 0.348 |
| 1     | 0   | 0   | 1   | GET    | /posts/8448                                             | 0.348 | 0.348 | 0.348   | 0.348 | 0.348 |
| 1     | 0   | 0   | 1   | GET    | /posts/7669                                             | 0.344 | 0.344 | 0.344   | 0.344 | 0.344 |
| 1     | 0   | 0   | 1   | GET    | /posts/8953                                             | 0.344 | 0.344 | 0.344   | 0.344 | 0.344 |
| 1     | 0   | 0   | 1   | GET    | /posts/927                                              | 0.344 | 0.344 | 0.344   | 0.344 | 0.344 |
| 1     | 0   | 0   | 1   | GET    | /posts/3102                                             | 0.344 | 0.344 | 0.344   | 0.344 | 0.344 |
| 1     | 0   | 0   | 1   | GET    | /posts/9345                                             | 0.344 | 0.344 | 0.344   | 0.344 | 0.344 |
| 1     | 0   | 0   | 1   | GET    | /posts/7594                                             | 0.340 | 0.340 | 0.340   | 0.340 | 0.340 |
| 1     | 0   | 0   | 1   | GET    | /posts/1918                                             | 0.340 | 0.340 | 0.340   | 0.340 | 0.340 |
| 1     | 0   | 0   | 1   | GET    | /posts/3876                                             | 0.340 | 0.340 | 0.340   | 0.340 | 0.340 |
| 1     | 0   | 0   | 1   | GET    | /posts/5963                                             | 0.340 | 0.340 | 0.340   | 0.340 | 0.340 |
| 1     | 0   | 0   | 1   | GET    | /posts/5090                                             | 0.336 | 0.336 | 0.336   | 0.336 | 0.336 |
| 1     | 0   | 0   | 1   | GET    | /posts/1423                                             | 0.336 | 0.336 | 0.336   | 0.336 | 0.336 |
| 1     | 0   | 0   | 1   | GET    | /posts/2693                                             | 0.336 | 0.336 | 0.336   | 0.336 | 0.336 |
| 1     | 0   | 0   | 1   | GET    | /posts/7947                                             | 0.336 | 0.336 | 0.336   | 0.336 | 0.336 |
| 1     | 0   | 0   | 1   | GET    | /posts/3563                                             | 0.336 | 0.336 | 0.336   | 0.336 | 0.336 |
| 1     | 0   | 0   | 1   | GET    | /posts/7807                                             | 0.332 | 0.332 | 0.332   | 0.332 | 0.332 |
| 1     | 0   | 0   | 1   | GET    | /posts/522                                              | 0.332 | 0.332 | 0.332   | 0.332 | 0.332 |
| 1     | 0   | 0   | 1   | GET    | /posts/3397                                             | 0.332 | 0.332 | 0.332   | 0.332 | 0.332 |
| 1     | 0   | 0   | 1   | GET    | /posts/5039                                             | 0.332 | 0.332 | 0.332   | 0.332 | 0.332 |
| 48    | 0   | 0   | 48  | GET    | /image/9983.jpg                                         | 0.000 | 0.296 | 0.332   | 0.007 | 0.004 |
| 1     | 0   | 0   | 1   | GET    | /posts/3998                                             | 0.332 | 0.332 | 0.332   | 0.332 | 0.332 |
| 1     | 0   | 0   | 1   | GET    | /posts/8434                                             | 0.332 | 0.332 | 0.332   | 0.332 | 0.332 |
| 1     | 0   | 0   | 1   | GET    | /posts/4240                                             | 0.332 | 0.332 | 0.332   | 0.332 | 0.332 |
| 1     | 0   | 0   | 1   | GET    | /posts/260                                              | 0.328 | 0.328 | 0.328   | 0.328 | 0.328 |
| 1     | 0   | 0   | 1   | GET    | /posts/3868                                             | 0.328 | 0.328 | 0.328   | 0.328 | 0.328 |
| 1     | 0   | 0   | 1   | GET    | /posts/438                                              | 0.328 | 0.328 | 0.328   | 0.328 | 0.328 |
| 1     | 0   | 0   | 1   | GET    | /posts/973                                              | 0.324 | 0.324 | 0.324   | 0.324 | 0.324 |
| 1     | 0   | 0   | 1   | GET    | /posts/5004                                             | 0.324 | 0.324 | 0.324   | 0.324 | 0.324 |
| 1     | 0   | 0   | 1   | GET    | /posts/1156                                             | 0.324 | 0.324 | 0.324   | 0.324 | 0.324 |
| 1     | 0   | 0   | 1   | GET    | /posts/6394                                             | 0.324 | 0.324 | 0.324   | 0.324 | 0.324 |
| 1     | 0   | 0   | 1   | GET    | /posts/2761                                             | 0.320 | 0.320 | 0.320   | 0.320 | 0.320 |
| 1     | 0   | 0   | 1   | GET    | /posts/8959                                             | 0.320 | 0.320 | 0.320   | 0.320 | 0.320 |
| 1     | 0   | 0   | 1   | GET    | /posts/1949                                             | 0.320 | 0.320 | 0.320   | 0.320 | 0.320 |
| 1     | 0   | 0   | 1   | GET    | /posts/1513                                             | 0.316 | 0.316 | 0.316   | 0.316 | 0.316 |
| 1     | 0   | 0   | 1   | GET    | /posts/1678                                             | 0.316 | 0.316 | 0.316   | 0.316 | 0.316 |
| 1     | 0   | 0   | 1   | GET    | /posts/5214                                             | 0.316 | 0.316 | 0.316   | 0.316 | 0.316 |
| 1     | 0   | 0   | 1   | GET    | /posts/1830                                             | 0.316 | 0.316 | 0.316   | 0.316 | 0.316 |
| 1     | 0   | 0   | 1   | GET    | /posts/1116                                             | 0.312 | 0.312 | 0.312   | 0.312 | 0.312 |
| 1     | 0   | 0   | 1   | GET    | /posts/6198                                             | 0.312 | 0.312 | 0.312   | 0.312 | 0.312 |
| 1     | 0   | 0   | 1   | GET    | /posts/6193                                             | 0.312 | 0.312 | 0.312   | 0.312 | 0.312 |
| 1     | 0   | 0   | 1   | GET    | /posts/3574                                             | 0.312 | 0.312 | 0.312   | 0.312 | 0.312 |
| 1     | 0   | 0   | 1   | GET    | /posts/5583                                             | 0.308 | 0.308 | 0.308   | 0.308 | 0.308 |
| 1     | 0   | 0   | 1   | GET    | /posts/4529                                             | 0.308 | 0.308 | 0.308   | 0.308 | 0.308 |
| 1     | 0   | 0   | 1   | GET    | /posts/9967                                             | 0.308 | 0.308 | 0.308   | 0.308 | 0.308 |
| 1     | 0   | 0   | 1   | GET    | /posts/116                                              | 0.304 | 0.304 | 0.304   | 0.304 | 0.304 |
| 1     | 0   | 0   | 1   | GET    | /posts/2089                                             | 0.304 | 0.304 | 0.304   | 0.304 | 0.304 |
| 1     | 0   | 0   | 1   | GET    | /posts/7749                                             | 0.304 | 0.304 | 0.304   | 0.304 | 0.304 |
| 1     | 0   | 0   | 1   | GET    | /posts/7503                                             | 0.300 | 0.300 | 0.300   | 0.300 | 0.300 |
| 1     | 0   | 0   | 1   | GET    | /posts/5668                                             | 0.300 | 0.300 | 0.300   | 0.300 | 0.300 |
| 1     | 0   | 0   | 1   | GET    | /posts/817                                              | 0.300 | 0.300 | 0.300   | 0.300 | 0.300 |
| 1     | 0   | 0   | 1   | GET    | /posts/4429                                             | 0.296 | 0.296 | 0.296   | 0.296 | 0.296 |
| 1     | 0   | 0   | 1   | GET    | /posts/7753                                             | 0.296 | 0.296 | 0.296   | 0.296 | 0.296 |
| 1     | 0   | 0   | 1   | GET    | /posts/9619                                             | 0.292 | 0.292 | 0.292   | 0.292 | 0.292 |
| 1     | 0   | 0   | 1   | GET    | /posts/5142                                             | 0.292 | 0.292 | 0.292   | 0.292 | 0.292 |
| 1     | 0   | 0   | 1   | GET    | /posts/10008                                            | 0.284 | 0.284 | 0.284   | 0.284 | 0.284 |
| 1     | 0   | 0   | 1   | GET    | /posts/9558                                             | 0.284 | 0.284 | 0.284   | 0.284 | 0.284 |
| 1     | 0   | 0   | 1   | GET    | /posts/173                                              | 0.284 | 0.284 | 0.284   | 0.284 | 0.284 |
| 1     | 0   | 0   | 1   | GET    | /posts/4751                                             | 0.280 | 0.280 | 0.280   | 0.280 | 0.280 |
| 1     | 0   | 0   | 1   | GET    | /posts/7873                                             | 0.280 | 0.280 | 0.280   | 0.280 | 0.280 |
| 10    | 0   | 5   | 0   | POST   | /                                                       | 0.000 | 0.128 | 0.264   | 0.026 | 0.052 |
| 1     | 0   | 0   | 1   | GET    | /posts/7496                                             | 0.244 | 0.244 | 0.244   | 0.244 | 0.244 |
| 42    | 0   | 0   | 42  | GET    | /image/10000.png                                        | 0.004 | 0.028 | 0.236   | 0.006 | 0.008 |
| 43    | 0   | 0   | 43  | GET    | /image/10006.png                                        | 0.004 | 0.032 | 0.208   | 0.005 | 0.008 |
| 5     | 0   | 0   | 0   | POST   | /register                                               | 0.020 | 0.076 | 0.168   | 0.034 | 0.076 |
| 32    | 0   | 0   | 32  | GET    | /image/10007.png                                        | 0.000 | 0.020 | 0.160   | 0.005 | 0.012 |
| 42    | 0   | 0   | 42  | GET    | /image/9999.jpg                                         | 0.000 | 0.028 | 0.092   | 0.002 | 0.004 |
| 42    | 0   | 0   | 42  | GET    | /image/9998.jpg                                         | 0.000 | 0.032 | 0.088   | 0.002 | 0.004 |
| 222   | 0   | 0   | 222 | GET    | /css/style.css                                          | 0.000 | 0.004 | 0.084   | 0.000 | 0.000 |
| 44    | 0   | 0   | 44  | GET    | /image/9987.jpg                                         | 0.004 | 0.008 | 0.076   | 0.002 | 0.004 |
| 42    | 0   | 0   | 42  | GET    | /image/9996.jpg                                         | 0.000 | 0.016 | 0.072   | 0.002 | 0.004 |
| 1     | 0   | 0   | 1   | GET    | /initialize                                             | 0.068 | 0.068 | 0.068   | 0.068 | 0.068 |
| 6     | 0   | 0   | 0   | POST   | /comment                                                | 0.008 | 0.024 | 0.068   | 0.011 | 0.024 |
| 1     | 0   | 0   | 1   | GET    | /posts/9670                                             | 0.064 | 0.064 | 0.064   | 0.064 | 0.064 |
| 1     | 0   | 0   | 1   | GET    | /posts/10006                                            | 0.060 | 0.060 | 0.060   | 0.060 | 0.060 |
| 222   | 0   | 0   | 222 | GET    | /favicon.ico                                            | 0.000 | 0.004 | 0.056   | 0.000 | 0.000 |
| 222   | 0   | 0   | 222 | GET    | /js/timeago.min.js                                      | 0.000 | 0.008 | 0.052   | 0.000 | 0.000 |
| 222   | 0   | 0   | 222 | GET    | /js/main.js                                             | 0.000 | 0.004 | 0.052   | 0.000 | 0.000 |
